속성,출현빈도
label,31453683
datePublished,29106595
title,28864323
extent,27609333
publisher,27093738
issued,26253199
publicationPlace,25522813
genre,21783102
accessRights,21712228
audienceNote,21416332
typeOfResource,20933427
medium,20800921
antecedentSource,20338250
format,19278470
holdingInstitution,17897078
titleOfHostItem,16967922
description,16514372
keyword,15859117
relatedParts,13970967
newsPosition,13110435
uci,12356857
kdc,11321092
hasFormat,10990667
reproductionNote,10896563
otherNumber,9803506
kdcn,8716693
http://purl.org/dc/elements/1.1/creator,8650322
classificationNumberOfNLK,7142633
itemNumberOfNLK,7142463
place,7117968
issuedYear,7106643
identifier,6705729
subject,6075966
typeOfData,5943915
localHolding,5858777
http://id.loc.gov/ontologies/bibframe/language,5016134
alternative,5009053
ddc,4908195
abstract,4637080
editionOfKDC,4613775
remainderOfTitle,4496480
editionOfDDC,4224023
languageNote,4059010
restriction,3960499
isPartOf,3915451
dcterms:creator,3873174
bibliography,3596441
http://purl.org/dc/terms/creator,3527448
sameAs,3516750
isbn,3309683
dc:creator,2930757
creator,2762045
ddcn,2666187
currentPublicationFrequency,2181109
degree,2158712
volumeOfNLK,2125065
prefLabel,2108769
titleOfSeries,2036426
rdf:type,1994511
name,1966404
modified,1966399
fieldOfActivity,1966234
associatedLanguage,1965450
relatedPlace,1959703
source,1956365
dcterms:language,1892190
degreeYear,1868773
jobTitle,1814628
department,1812103
tableOfContents,1627601
create,1618009
seeAlso,1608974
volume,1582258
isni,1545925
bibframe:language,1527821
altLabel,1401689
uniformTitleOfSeries,1229186
volumeOfSeries,1216919
containedIn,1200239
http://purl.org/dc/terms/language,1134783
corporateName,1120994
language,1101587
biographicalNote,1023071
gender,1005713
issn,992971
newsGenre,920539
edition,802059
titleOfAdditionalPhysicalForm,663573
birthYear,619086
doi,544321
sourceOfOtherNumber,381886
locationNote,320885
linkingEntryComplexityNote,319071
governmentPublisher,315358
inScheme,257706
relatedPerson,242457
relatedOrganization,223944
cip,196700
broader,171674
type,167742
dcterms:isPartOf,166541
related,162785
supplementNote,160064
requires,148498
birthPlace,148335
holdingItemNote,139852
http://purl.org/dc/terms/identifier,122172
location,120301
classificationNumberOfLC,116296
itemNumberOfLC,112166
isSubjectOf,103666
lccn,100793
relation,99771
http://bibframe.org/vocab/extent,89000
gprn,88404
url,85373
typeOfContinuousData,85140
typeOfPublicationStatus,85122
typeOfPublicationFrequency,83178
dateOfEstablishment,79602
dateCopyrighted,77935
created,75955
http://purl.org/ontology/bibo/identifier,74146
authenticationCode,73868
http://id.loc.gov/ontologies/bibframe/extent,73680
http://purl.org/dc/elements/1.1/format,64408
dateOfPublicationSequentialDesignation,63202
gpo,61793
deathYear,58317
exhibition,52008
definition,48131
narrower,40281
physicalFormAvailableNote,34180
originalVersionNote,33905
awardsNote,29603
libraryType,28108
phone,26810
dateOfManufacture,21907
isClosed,20686
titleOfConstituentUnit,19161
issuingBodyNote,17850
titleOfPreceding,17005
http://purl.org/dc/terms/abstract,16184
faxNumber,15288
homepage,15137
dateOfOpening,14652
http://www.w3.org/2003/01/geo/wgs84_pos#location,13999
series,13834
uniformTitle,13509
openingYear,13358
dcterms:subject,12733
numberingPeculiaritiesNote,12642
coverage,12351
succeeding,12326
scale,12090
hasPart,11464
preceding,11329
issnOfSeries,10026
titleOfSupplementParent,9699
abbreviatedTitle,9481
shortTitle,9481
meetingInformation,9354
hasSupplement,9307
titleOfSucceeding,9187
supplementTo,9141
translationOf,9137
translatedAs,9048
titleOfSupplement,9034
http://purl.org/dc/elements/1.1/relation,8972
titleOfOriginalLanguage,8288
formerPublicationFrequency,6976
projection,6926
personalName,6865
dateOfClosed,6686
dcterms:identifier,6317
dateOfCurrentPublicationFrequency,6276
dateOfFormerPublicationFrequency,5777
titleOfTranslation,5634
bibo:identifier,5589
laterCorporate,5321
closeMatch,4577
previousCorporate,4436
owl:sameAs,4172
hasIssue,4007
nlkcn,3640
relatedCountry,3023
citationReferenceNote,3017
relatedSpecies,2390
hasVersion,2253
comment,2004
relatedHeritage,1875
summerOpenTime,1778
winterOpenTime,1760
formerTitle,1697
titleOfOtherEdition,1591
dateSequentialDesignation,1541
manufacturer,1381
manufacturingPlace,1373
uri,1280
http://purl.org/dc/terms/relation,1146
keyTitle,982
bibframe:extent,975
dcterms:relation,964
strn,948
http://schema.org/location,806
http://purl.org/dc/terms/format,751
dc:relation,622
sourceOfInformation,510
http://purl.org/ontology/bibo/abstract,423
dc:format,422
depiction,405
relatedNaturalAttraction,309
laterTerm,303
priorTerm,265
producer,230
productionPlace,230
useAndReproductionNote,202
dcterms:format,180
relationshipInformation,84
distributor,72
distributionPlace,69
geo:location,55
bibliographicCitation,54
itemNumberOfOtherNumber,40
titleOfIssuedWith,29
dateOfDistribute,26
issuedWith,25
coden,16
headingOfOriginalLanguage,12
dcterms:hasFormat,12
formerTitleComplexityNote,9
titleOfMainSeries,8
mainSeries,7
subSeries,7
titleOfSubSeries,7
member,3
mainEntryHeading,3
mbox,3
headingOfTranslation,2
sici,2
