폴더,클래스,인스턴스수
기타-도서관정보,http://lod.nl.go.kr/ontology/Library,14054
서지-오프라인자료,http://lod.nl.go.kr/ontology/OfflineMaterial,7144183
서지-오프라인자료,http://lod.nl.go.kr/ontology/Book,6845116
서지-오프라인자료,http://purl.org/ontology/bibo/Book,3588544
서지-오프라인자료,http://purl.org/ontology/bibo/Thesis,1869680
서지-오프라인자료,http://purl.org/ontology/bibo/Article,1200240
서지-오프라인자료,http://lod.nl.go.kr/ontology/NonBook,299070
서지-오프라인자료,http://lod.nl.go.kr/ontology/Score,103492
서지-오프라인자료,http://lod.nl.go.kr/ontology/OldBook,101452
서지-오프라인자료,http://purl.org/ontology/bibo/AudioDocument,91992
서지-오프라인자료,http://purl.org/ontology/bibo/Periodical,85200
서지-오프라인자료,http://purl.org/ontology/bibo/AudioVisualDocument,71662
서지-오프라인자료,http://lod.nl.go.kr/ontology/ElectronicDocument,21143
서지-오프라인자료,http://lod.nl.go.kr/ontology/Map,10677
서지-오프라인자료,http://lod.nl.go.kr/ontology/ComplexDocument,3
서지-온라인자료,http://lod.nl.go.kr/ontology/OnlineMaterial,21810815
서지-온라인자료,http://lod.nl.go.kr/ontology/ElectronicJournal,16901548
서지-온라인자료,http://lod.nl.go.kr/ontology/ElectronicBook,2895364
서지-온라인자료,http://purl.org/ontology/bibo/Website,698310
서지-온라인자료,http://lod.nl.go.kr/ontology/Sound,626033
서지-온라인자료,http://purl.org/ontology/bibo/Image,246414
서지-온라인자료,http://lod.nl.go.kr/ontology/VideoDocument,227144
서지-온라인자료,http://lod.nl.go.kr/ontology/DigitalizedScore,104007
서지-온라인자료,http://lod.nl.go.kr/ontology/AlternativeMaterial,15765
서지-온라인자료,http://lod.nl.go.kr/ontology/DigitalizedMap,3382
서지-온라인자료,http://lod.nl.go.kr/ontology/Software,17
전거-개인명,http://lod.nl.go.kr/ontology/Author,1500590
전거-개인명,http://xmlns.com/foaf/0.1/Person,314214
전거-단체명,http://lod.nl.go.kr/ontology/Author,117419
전거-단체명,http://xmlns.com/foaf/0.1/Organization,34179
전거-단체명,http://lod.nl.go.kr/ontology/Library,14054
전거-단체명,http://www.w3.org/ns/org#Organization,1
전거-주제명,http://lod.nl.go.kr/ontology/Concept,515412
